연번,시도청,경찰서,관서명,구분,전화번호,주소,위도,경도
21,서울청,서울남대문,태평로,파출소,02-2096-8471,서울특별시 중구  다동길 11,37.5680079853085,126.979991439354
22,서울청,서울남대문,서울역,파출소,02-2096-8472,서울특별시 중구  통일로 15,37.5568900574881,126.971673520538
23,서울청,서울남대문,명동,파출소,02-2096-8473,서울특별시 중구  명동길 30 명동파출소,37.5635895671109,126.983968494252
24,서울청,서울남대문,남대문,파출소,02-2096-8474,서울특별시 중구  남대문시장4길 28-16,37.5590136645085,126.97639193096
25,서울청,서울남대문,중림,파출소,02-2096-8475,서울특별시 중구  중림로 36,37.5578893434364,126.967115615717
26,서울청,서울남대문,회현,파출소,02-2096-8476,서울특별시 중구  퇴계로6길 3-15,37.5584412507708,126.978707165189
27,서울청,서울남대문,서소문,파출소,02-2096-8477,서울특별시 중구  서소문로 131-1 서소문파출소,37.5638375727378,126.975371960747
28,서울청,서울서대문,충정로,지구대,02-335-8301,서울특별시 서대문구  독립문로 25-1,37.5698843736468,126.961109299589
29,서울청,서울서대문,신촌,지구대,02-335-8302,서울특별시 서대문구  신촌역로 22,37.5585525829582,126.943009871743
30,서울청,서울서대문,홍은,파출소,02-335-8303,서울특별시 서대문구 세검정로1길 112,37.5952477134009,126.946423973198
31,서울청,서울서대문,연희,파출소,02-335-8304,서울특별시 서대문구  연희로25길 73,37.5702755077088,126.932849090842
32,서울청,서울서대문,남가좌,파출소,02-335-8305,서울특별시 서대문구  가재울로4길 51,37.5760556480691,126.924059116925
33,서울청,서울서대문,북가좌,파출소,02-335-8306,서울특별시 서대문구  응암로1길 13,37.5813233182072,126.910566763346
34,서울청,서울서대문,홍제,파출소,02-335-8307,서울특별시 서대문구  통일로 441-1,37.5881707286561,126.944553282812
35,서울청,서울서대문,홍은2,파출소,02-335-8308,서울특별시 서대문구  연희로 298,37.5836053290869,126.936211181249
36,서울청,서울혜화,혜화,파출소,02-762-0811,서울특별시 종로구  창경궁로 279 ,37.5861083962149,127.001407548091
37,서울청,서울혜화,대학로,파출소,02-763-1230,서울특별시 종로구  이화장2길 33,37.578611713366,127.006045329114
38,서울청,서울혜화,명륜,파출소,02-762-1120,서울특별시 종로구  성균관로 78,37.5892784329492,126.99759929956
39,서울청,서울혜화,창신,파출소,02-763-4200,서울특별시 종로구  지봉로13길 20-12,37.5784936918859,127.013541968647
40,서울청,서울혜화,동묘,파출소,02-2252-0547,서울특별시 종로구  종로58가길 19 동묘파출소,37.5726963187211,127.017117455617
41,서울청,서울혜화,덕산,파출소,02-763-6843,서울시 종로구 낙산성곽동길 20-1,37.5744069177335,127.009344715593
42,서울청,서울혜화,종로5가,파출소,02-2267-2287,서울특별시 종로구  동호로 407,37.5707367126759,127.0016317274
43,서울청,서울혜화,효제,파출소,02-762-8485,서울특별시 종로구  종로41나길 24-6,37.5729430706406,127.004866460652
44,서울청,서울용산,원효,지구대,02-2198-0191,서울특별시 용산구  백범로 329,37.5389037956572,126.965012154483
45,서울청,서울용산,용중,지구대,02-2198-0117,"서울특별시 용산구  후암로16나길 17, 용중지구대",37.549159039208,126.978479404326
46,서울청,서울용산,이태원,파출소,02-2198-0125,서울특별시 용산구  이태원로 184,37.5343148256842,126.994425069817
47,서울청,서울용산,한남,파출소,02-2198-0136,"서울특별시 용산구  대사관로34길 53, 한남파출소",37.5310848781248,127.006342547451
48,서울청,서울용산,보광,파출소,02-2198-0143,"서울특별시 용산구  보광로 25-1, 보광파출소",37.5265772465655,127.000208837482
49,서울청,서울용산,삼각지,파출소,02-2198-0152,서울특별시 용산구  한강대로198-2,37.5361101058592,126.974708440403
50,서울청,서울용산,한강로,지구대,02-2198-0158,서울특별시 용산구  서빙고로67,37.5248628078572,126.970412727842
51,서울청,서울성북,돈암,지구대,02-920-1810,서울특별시 성북구  아리랑로5길 54,37.597322581692,127.012403387654
52,서울청,서울성북,안암,지구대,02-920-1820,서울특별시 성북구  지봉로21길 45,37.5867215345551,127.016598379745
53,서울청,서울성북,길음,지구대,02-920-1830,서울특별시 성북구  삼양로13길 51 길음지구대,37.6106032462374,127.01927530244
54,서울청,서울성북,정릉,파출소,02-920-1840,서울특별시 성북구  솔샘로 111,37.6160729681366,127.008602830264
55,서울청,서울성북,정릉2,파출소,02-920-1850,서울특별시 성북구  정릉로26길 6 정릉2파출소,37.6045609452845,127.010720369254
56,서울청,서울성북,성북,파출소,02-920-1860,서울특별시 성북구  성북로 94  성북파출소,37.5932727259297,126.998471952841
57,서울청,서울동대문,답십리,지구대,02-961-4301,서울시 동대문구 사가정로 2길 9,37.5712942968163,127.051067616943
58,서울청,서울동대문,용신,지구대,02-961-4302,서울특별시 동대문구  청계천로549,37.5728434233834,127.037208959975
59,서울청,서울동대문,청량리,파출소,02-961-4303,서울특별시 동대문구 약령시로21가길 15,,
60,서울청,서울동대문,제기,파출소,02-961-4304,서울특별시 동대문구 약령시로 17길 59-11,37.5855626699461,127.042026415272
61,서울청,서울동대문,전농1,파출소,02-961-4305,서울특별시 동대문구 서울시립대로 56,37.5761294460211,127.047938093483
62,서울청,서울동대문,전농2,파출소,02-961-4306,서울특별시 동대문구 전농로38다길 21,37.5863730931314,127.054229172919
63,서울청,서울동대문,장안1,파출소,02-961-4307,서울특별시 동대문구 한천로20길 9,37.5696342993256,127.065004726024
64,서울청,서울동대문,장안2,파출소,02-961-4308,서울특별시 동대문구  답십리로 69길 100,37.5767936401153,127.074403847227
65,서울청,서울동대문,이문,지구대,02-961-4309,서울특별시 동대문구  한천로 402,37.5964838564998,127.068115327653
66,서울청,서울동대문,휘경,파출소,02-961-4310,서울특별시 동대문구  한천로 266,37.5846745156333,127.068023841813
67,서울청,서울동대문,회기,파출소,02-961-4311,서울특별시 동대문구  회기로18길 2,37.5910847312738,127.05184927022
68,서울청,서울마포,서강,지구대,02-334-4975,"서울특별시 마포구  독막로22길 8(창전동, 서강지구대)",37.5473472146038,126.929311426746
69,서울청,서울마포,공덕,지구대,02-703-0492,서울특별시 마포구 마포대로 195-1,37.5518094602317,126.954039818166
70,서울청,서울마포,월드컵,지구대,02-373-1113,서울특별시 마포구  월드컵북로 30길 24,37.5687316891162,126.909082347349
71,서울청,서울마포,홍익,지구대,02-334-8150,서울특별시 마포구  양화로11길 63,37.5518763429182,126.913462507314
72,서울청,서울마포,용강,지구대,02-716-6391,서울특별시 마포구 토정로31길 35,37.5425613405773,126.943083375629
73,서울청,서울마포,상암,파출소,02-309-9525,서울특별시 마포구  매봉산로 76,37.5782806848788,126.893844619605
74,서울청,서울마포,망원,파출소,02-337-5908,서울특별시 마포구  망원로2길 63,37.554339428821,126.902733477039
75,서울청,서울마포,연남,파출소,02-334-4974,서울특별시 마포구  연남로 4,37.5603356081643,126.923762130152
76,서울청,서울영등포,중앙,지구대,02-2118-9101,서울특별시 영등포구  영등포로46길 14,37.5180106135789,126.907513795007
77,서울청,서울영등포,여의도,지구대,02-2118-9102,서울특별시 영등포구  여의공원로 120 여의도지구대,37.5296207835407,126.926691111146
78,서울청,서울영등포,문래,지구대,02-2118-9103,서울특별시 영등포구  경인로 759,37.5135821557429,126.897650067059
79,서울청,서울영등포,신풍,지구대,02-2118-9104,서울특별시 영등포구 대방천로 195(신길동 3741-23),37.4990999398471,126.912804886075
80,서울청,서울영등포,신길,지구대,02-2118-9105,서울특별시 영등포구 노량진로 11,37.5129721223424,126.926507760525
81,서울청,서울영등포,양평,파출소,02-2118-9106,서울특별시 영등포구  선유로 95,37.522723047751,126.889684521673
82,서울청,서울영등포,당산,지구대,02-2118-9107,서울특별시 영등포구  당산로 221,37.5336156813601,126.901263890593
83,서울청,서울영등포,대림,지구대,02-2118-9108,서울특별시 영등포구  대림로23길 16-1,37.4934305498189,126.898702865566
84,서울청,서울영등포,대림3,파출소,02-2118-9109,서울특별시 영등포구 가마산로 334,37.4989872492477,126.896637722866
85,서울청,서울영등포,영등포역,파출소,02-2118-9110,서울특별시 영등포구 영신로20길 11,37.5154533392517,126.908844330818
86,서울청,서울성동,한양,지구대,02-2292-5975,서울특별시 성동구  사근동길 5,37.5603019185024,127.041794349813
87,서울청,서울성동,성수,지구대,02-463-0112,서울특별시 성동구  광나루로2길 35 성수지구대,37.5482232014778,127.055245559476
88,서울청,서울성동,서울숲,지구대,02-464-0113,서울특별시 성동구  성덕정길 77-2,37.5380574969255,127.052273266357
89,서울청,서울성동,왕십리,파출소,02-2295-1241,서울특별시 성동구  마장로 205,37.5666688968744,127.032658353836
90,서울청,서울성동,행당,파출소,02-2292-1812,서울특별시 성동구  행당로 89,37.5574289059055,127.028855896061
91,서울청,서울성동,옥수,파출소,02-2297-5898,서울특별시 성동구  독서당로 211,37.5438389184568,127.014348948586
92,서울청,서울성동,금호,파출소,02-2231-6253,서울특별시 성동구  금호로11길 2-1,37.5547388017359,127.019618302754
93,서울청,서울성동,응봉,파출소,02-2293-7480,서울특별시 성동구  독서당로 373 응봉파출소,37.5497977040106,127.030020362088
94,서울청,서울성동,용답,파출소,02-2245-0189,서울특별시 성동구  용답중앙길 49 용답파출소,37.5647821400746,127.051758708211
95,서울청,서울동작,사당,지구대,02-811-9853,서울특별시 동작구 사당로28길 44,37.480784073458,126.979272590265
96,서울청,서울동작,노량진,지구대,02-811-9813,서울특별시 동작구  등용로12나길 2,37.5111477441801,126.933297744002
97,서울청,서울동작,상도,지구대,02-811-9833,서울특별시 동작구  등용로 24 ,37.5059329821861,126.936202457013
98,서울청,서울동작,남성,지구대,02-811-9843,서울특별시 동작구 사당로17나길 4,37.4841231762712,126.973263131281
99,서울청,서울동작,흑석,지구대,02-811-9823,서울특별시 동작구 흑석로13길 13,37.5093773967216,126.960145626416
100,서울청,서울동작,신대방,지구대,02-811-9863,서울특별시 동작구 신대방1다길 24,37.4866458271285,126.905947114843
101,서울청,서울동작,대방,파출소,02-811-9873,서울특별시 동작구 여의대방로 130,37.4985652656913,126.920574048532
102,서울청,서울광진,광나루,지구대,02-2285-7820,서울특별시 광진구 아차산로 567,37.5444546646191,127.103316501535
103,서울청,서울광진,화양,지구대,02-2285-7810,서울특별시 광진구  능동로17길 39 화양지구대,37.5465267774587,127.071267629589
104,서울청,서울광진,중곡1,파출소,02-2285-7830,서울특별시 광진구 능동로 385,37.5637201146154,127.082788101087
105,서울청,서울광진,중곡2,파출소,02-2285-7840,서울특별시 광진구  능동로 346,37.5601504693098,127.081475106274
106,서울청,서울광진,중곡3,파출소,02-2285-7850,서울특별시 광진구 동일로76가길 28,37.5688068928836,127.080138097194
107,서울청,서울광진,중곡4,파출소,02-2285-7860,서울특별시 광진구  용마산로24길 7,37.5653510301975,127.087260504516
108,서울청,서울광진,자양,파출소,02-2285-7870,서울특별시 광진구 뚝섬로36길 9,37.5338510333592,127.071612524754
109,서울청,서울광진,자양1,파출소,02-2285-7880,서울특별시 광진구  자양번영로 80,37.5366207935691,127.076922346899
110,서울청,서울광진,자양4,파출소,02-2285-7890,서울특별시 광진구  뚝섬로22가길 43번지 자양4파출소,37.5351870096292,127.063635996316
111,서울청,서울광진,구의,파출소,02-2285-7800,서울특별시 광진구 광나루로 43길 26 구의파출소,37.5458954287516,127.091667652198
112,서울청,서울서부,응암,지구대,02-335-9800,서울특별시 은평구  은평로 171,37.6016345299694,126.926445885297
113,서울청,서울서부,신사,지구대,02-335-9810,서울특별시 은평구  은평터널로5길 6호,37.5917796902503,126.90535752555
114,서울청,서울서부,녹번,파출소,02-335-9820,서울특별시 은평구  진흥로 진흥로200,37.6088118976774,126.931835604338
115,서울청,서울서부,응암3,파출소,02-335-9830,서울특별시 은평구  응암로 208 ,37.5905275289984,126.917536839269
116,서울청,서울서부,역촌,파출소,02-350-1934,서울특별시 은평구  연서로 61,37.6045881730664,126.915065656503
117,서울청,서울강북,미아,지구대,02-944-4112,서울특별시 강북구 도봉로 127,37.6201553368322,127.028264945396
118,서울청,서울강북,솔샘,지구대,02-944-4122-7,서울특별시 강북구 오현로 4,37.6163094791984,127.030400810226
119,서울청,서울강북,수유1,파출소,02-944-4132,서울특별시 강북구  삼양로 305,37.6306754435128,127.017581288566
120,서울청,서울강북,수유2,파출소,02-944-4141,서울특별시 강북구 삼각산로 115,37.6409379150253,127.017116558812
121,서울청,서울강북,수유3,파출소,02-944-4153,서울특별시 강북구  한천로150길 76,37.6443352147613,127.026584681492
122,서울청,서울강북,인수,파출소,02-944-4163,서울특별시 강북구 인수봉로 227,37.6394398066975,127.012404041316
123,서울청,서울강북,번동,파출소,02-944-4173,서울특별시 강북구  한천로 969,37.6359777996055,127.032580241056
124,서울청,서울강북,번3,파출소,02-944-4183,서울특별시 강북구  월계로 227,37.6236254564886,127.048129996352
125,서울청,서울강북,삼양,파출소,02-944-4102,서울특별시 강북구  삼양로 239-1,37.6248320047698,127.018177569406
126,서울청,서울금천,금천,파출소,02-802-0113,서울특별시 금천구 시흥대로57길 45,37.4542211790837,126.899819857776
127,서울청,서울금천,문성,지구대,02-855-0112,서울특별시 금천구  독산로 76길 20,37.469535370684,126.903461587069
128,서울청,서울금천,백산,지구대,02-805-0112,서울특별시 금천구  탑골로2길 37 백산지구대,37.4510427230003,126.912595677405
129,서울청,서울금천,가산,파출소,02-864-0113,서울특별시 금천구  벚꽃로56길 174,37.4799367297212,126.888055745139
130,서울청,서울금천,독산,파출소,02-807-0113,서울특별시 금천구  벚꽃로10길 89,37.4646448212254,126.89475752423
131,서울청,서울중랑,망우,지구대,02-2171-0300,서울특별시 중랑구  망우로 391,37.5990315026677,127.095531641978
132,서울청,서울중랑,중화,지구대,02-2171-0303,서울특별시 중랑구  중랑천로 146,37.5979867086444,127.072209222688
133,서울청,서울중랑,용마,지구대,02-2171-0301,서울특별시 중랑구 동일로 566,37.5809441456434,127.079936341665
134,서울청,서울중랑,봉화,지구대,02-2171-0302,서울특별시 중랑구  신내로 177,,
135,서울청,서울중랑,면목본동,파출소,02-2171-0306,서울특별시 중랑구  상봉로 27,37.5882025518883,127.093877426792
136,서울청,서울중랑,면목삼팔,파출소,02-2171-0307,서울특별시 중랑구  사가정로41길 45 (면목3.8파출소),37.5832071216876,127.084154900474
137,서울청,서울중랑,상봉,파출소,02-2171-0304,서울특별시 중랑구  중랑천로 69 상봉파출소,37.5913260054733,127.072850562231
138,서울청,서울중랑,먹골,파출소,02-2171-0305,서울특별시 중랑구 숙선옹주로7길 1,37.6146247980813,127.081532352053
139,서울청,서울강남,역삼,지구대,02-562-1623,서울특별시 강남구 언주로108길 20,37.5083073262681,127.041016042318
140,서울청,서울강남,논현1,파출소,02-544-5555,서울특별시 강남구 학동로 169,37.5138651397213,127.02932175785
141,서울청,서울강남,논현2,파출소,02-543-0112,서울특별시 강남구 학동로 227,37.5152038126855,127.033846444455
142,서울청,서울강남,삼성1,파출소,02-511-5049,서울특별시 강남구 영동대로112길 4,37.5149074360264,127.060545856713
143,서울청,서울강남,삼성2,파출소,02-562-1628,서울특별시 강남구 선릉로 626,37.5124098757427,127.043517868339
144,서울청,서울강남,청담,파출소,02-512-0112,서울특별시 강남구 학동로95길 19,37.5207979095084,127.054275568617
145,서울청,서울강남,신사,파출소,02-511-5087,서울특별시 강남구 도산대로 143,37.5183718725269,127.024133471487
146,서울청,서울강남,압구정,파출소,02-542-1103,서울특별시 강남구 압구정로 311,37.5293473229076,127.035614442254
147,서울청,서울관악,당곡,지구대,02-870-0810,서울특별시 관악구  남부순환로191길 12 당곡지구대,37.4860068452142,126.93436440338
148,서울청,서울관악,낙성대,지구대,02-870-0820,"서울특별시 관악구  봉천로 540, 낙성대지구대",37.4783269065956,126.95759572971
149,서울청,서울관악,신림,지구대,02-870-0830,서울특별시 관악구  남부순환로188길 12 신림지구대,37.4840164722611,126.933317348962
150,서울청,서울관악,관악산,지구대,02-870-0840,서울특별시 관악구  신림로 178 관악산지구대,37.473859396558,126.935263149906
151,서울청,서울관악,구암,지구대,02-870-0850,서울특별시 관악구 은천로 93,37.4873527233282,126.945428874003
152,서울청,서울관악,남현,파출소,02-870-0890,서울특별시 관악구  남현1가길 29 남현파출소,37.4746878600089,126.977875262005
153,서울청,서울관악,난우,파출소,02-870-0860,서울특별시 관악구  난곡로64 난우파출소,37.4611182549024,126.919249954798
154,서울청,서울관악,미성,파출소,02-870-0870,서울특별시 관악구  난곡로64가길 31,37.479924213477,126.915610467133
155,서울청,서울관악,신사,지구대,02-870-0880,서울특별시 관악구  신사로 106,37.4872984954348,126.914205074264
156,서울청,서울강서,화곡,지구대,02-2604-0087,서울특별시 강서구  화곡로 308,37.551558168546,126.849656371385
157,서울청,서울강서,공항,지구대,02-2662-0372,서울특별시 강서구  방화동로 5 ,37.5623696520713,126.808278457076
158,서울청,서울강서,까치산,지구대,02-2604-5053,서울특별시 강서구  강서로7길 39,37.5293516336519,126.845560142507
159,서울청,서울강서,가양,지구대,02-3665-9112,서울특별시 강서구 화곡로65길 63,37.559249129802,126.850122609392
160,서울청,서울강서,곰달래,지구대,02-2643-7994,서울특별시 강서구 곰달래로59길 12,37.5328910922891,126.863140780977
161,서울청,서울강서,방화3,파출소,02-2663-1121,서울특별시 강서구  금낭화로26길 16,37.5798053719259,126.814682089465
162,서울청,서울강서,염창,지구대,02-3665-0660,서울특별시 강서구 양천로67길 101,37.5555167163664,126.871575534427
163,서울청,서울강서,등촌2,파출소,02-2651-0330,서울특별시 강서구  등촌로 167 ,37.5448086639425,126.861869176287
164,서울청,서울강서,발산,지구대,02-2662-0330,서울특별시 강서구  수명로2길 46 ,37.5494063246067,126.826042665559
165,서울청,서울강서,화곡3,파출소,02-2604-2133,서울특별시 강서구  강서로45다길 71,37.5446566550337,126.835171321129
166,서울청,서울강서,마곡,지구대,02-2620-9541,서울특별시 강서구 마곡중앙5로 32,37.5672439954454,126.824231110067
167,서울청,서울강동,천호,지구대,02-3449-7804,"서울특별시 강동구  구천면로 141, 천호지구대",37.5425732089475,127.120777276664
168,서울청,서울강동,길동,지구대,02-3449-7814,서울특별시 강동구 양재대로96길 35,37.5294468173711,127.139188803054
169,서울청,서울강동,성내,지구대,02-3449-7834,서울특별시 강동구 성내로 55 (성내동),37.528637992313,127.126362909521
170,서울청,서울강동,암사,지구대,02-3449-7824,서울특별시 강동구  고덕로 137 암사지구대,37.554996356036,127.140784057162
171,서울청,서울강동,둔촌,파출소,02-3449-7854,서울특별시 강동구 양재대로 1340 (둔촌동),37.525777860061,127.135931466677
172,서울청,서울강동,명일,파출소,02-3449-7844,서울특별시 강동구 동남로 895 명일파출소,37.5536441814625,127.156088167669
173,서울청,서울강동,강일,파출소,02-3449-7864,서울특별시 강동구  아리수로91길 20,37.5648665308628,127.173214774729
174,서울청,서울강동,고덕,파출소,02-3449-7874,서울특별시 강동구  고덕로 61길61,37.5573242394469,127.151712873072
175,서울청,서울강동,상일,파출소,02-3449-7894,서울특별시 강동구 고덕로 80길 7,37.5562444204205,127.165767403457
176,서울청,서울종암,석관,파출소,02-3396-7663,서울특별시 성북구  화랑로32가길 20 석관파출소,37.6089598264198,127.055269047643
177,서울청,서울종암,장위,지구대,02-3396-7673,서울특별시 성북구 장월로174 장위지구대,37.6194566597845,127.053803736786
178,서울청,서울종암,월곡,지구대,02-3396-7684,서울특별시 성북구  종암로32길 5 월곡지구대,37.6044288636147,127.032401361745
179,서울청,서울종암,종암,파출소,02-3396-7693,서울특별시 성북구  종암로23길 52,37.6001000928042,127.031259034718
180,서울청,서울구로,신구로,지구대,02-853-0189,서울특별시 구로구 새말로 26 신구로지구대,37.5022709315884,126.88389609812
181,서울청,서울구로,오류,지구대,02-840-8305,서울특별시 구로구  고척로1길 34 오류지구대,37.4948162993423,126.838842200207
182,서울청,서울구로,구일,지구대,02-840-8302,서울특별시 구로구  도림로 63 구일지구대,37.4892521149095,126.890700200107
183,서울청,서울구로,고척,지구대,02-2612-0112,서울특별시 구로구 중앙로 15길 30 고척지구대,37.5066010740517,126.858302326165
184,서울청,서울구로,개봉,지구대,02-2612-0330,서울특별시 구로구  개봉로18길 5 개봉지구대,37.4918322570645,126.856448965021
185,서울청,서울구로,구로3,파출소,02-866-0112,서울특별시 구로구  디지털로31길 86 구로3파출소,37.4866606515713,126.891399918226
186,서울청,서울구로,가리봉,파출소,02-854-0112,서울특별시 구로구 남부순환로 1275 가리봉파출소,37.4792089328892,126.892660335738
187,서울청,서울구로,천왕,파출소,02-840-8308,서울특별시 구로구 오리로 1102-8,37.4838544428815,126.842564336077
188,서울청,서울서초,반포,지구대,02-536-8477,서울특별시 서초구 신반포로190,37.5059651429834,127.005186250271
189,서울청,서울서초,서초2,파출소,02-536-8477,서울 서초구 서운로 38,37.4875206192926,127.028982195737
190,서울청,서울서초,서초3,파출소,02-572-0692,서울 서초구 반포대로30길 40,37.4919750194143,127.010793588595
191,서울청,서울서초,양재,파출소,02-572-0113,서울 서초구 남부순환로356길 9,37.4845457734066,127.037855508801
192,서울청,서울서초,서초,파출소,02-583-6249,서울 서초구 효령로 297,37.4852860553806,127.016737938236
193,서울청,서울서초,우면,파출소,02-581-1120,서울 서초구 양재대로2길 106,37.4561084600715,127.016008083183
194,서울청,서울서초,내곡,파출소,02-573-5826,서울특별시 서초구 헌릉로 226,37.4549892093417,127.064800488558
195,서울청,서울양천,목1,지구대,02-2648-0040,서울특별시 양천구  목동동로 373,37.535155935841,126.878458075374
196,서울청,서울양천,목2,지구대,02-2652-0112,서울특별시 양천구  등촌로 166,37.544527409853,126.862364416594
197,서울청,서울양천,신정1,지구대,02-2643-0113,서울특별시 양천구  중앙로32길 65,37.5202997079635,126.860768123276
198,서울청,서울양천,신정2,지구대,02-2699-0678,서울특별시 양천구 목동로17길 5,37.5244524591257,126.863575783703
199,서울청,서울양천,신월2,지구대,02-2608-0112,서울특별시 양천구 지양로 55,37.5205420022268,126.834388421956
200,서울청,서울양천,신월1,파출소,02-2602-0092,서울특별시 양천구  남부순환로59길 8 ,37.5320545919305,126.832251816573
201,서울청,서울양천,신정3,파출소,02-2696-2305,서울특별시 양천구  중앙로 205,37.5149191698884,126.854985652216
202,서울청,서울양천,신월5,파출소,02-2693-0113,서울특별시 양천구  남부순환로31길 37,37.5390738299023,126.830673512582
203,서울청,서울송파,방이,지구대,02-3402-6301,서울특별시 송파구  양재대로71길 5-6,37.5102499083954,127.12574636006
204,서울청,서울송파,잠실,지구대,02-3402-6302,서울특별시 송파구  올림픽로 101,37.5120988483068,127.082140287795
205,서울청,서울송파,삼전,지구대,02-3402-6303,서울특별시 송파구  백제고분로 238,37.5026745946968,127.092748887805
206,서울청,서울송파,가락,지구대,02-3402-6304,서울특별시 송파구  중대로 179,37.4981844710972,127.125313358803
207,서울청,서울송파,문정,지구대,02-3402-6305,서울특별시 송파구 충민로2길 18,37.4782186791907,127.126925891212
208,서울청,서울송파,마천,파출소,02-3402-6306,서울특별시 송파구  마천로 41길 8,37.4970267513558,127.148210129756
209,서울청,서울송파,거여,파출소,02-3402-6307,서울특별시 송파구 새말로15길 9,37.485159448483,127.129717275738
210,서울청,서울송파,풍납,파출소,02-3402-6308,서울특별시 송파구  풍성로 42,37.5341648236007,127.117094888155
211,서울청,서울송파,오금,파출소,02-3402-6309,서울특별시 송파구  마천로8길 17,37.5068995168609,127.128101023042
212,서울청,서울송파,신천,파출소,02-3402-6310,서울특별시 송파구  올림픽로35길 12 ,37.5201681247815,127.112554886342
213,서울청,서울송파,위례,파출소,02-3402-6300,서울특별시 송파구 위례순환로 369,37.4778540602867,127.145875182176
214,서울청,서울노원,당현,지구대,02-2092-0301,서울특별시 노원구  노원로17길 64번지,37.6420207179331,127.068355620094
215,서울청,서울노원,월계,지구대,02-2092-0302,서울특별시 노원구  월계로55길 58,37.6336796200966,127.059287234129
216,서울청,서울노원,화랑,지구대,02-2092-0303,서울특별시 노원구  동일로 1034,37.6225681689702,127.074597834957
217,서울청,서울노원,노원역,지구대,02-2092-0304,서울특별시 노원구 노원로431,37.6550055224449,127.066916404341
218,서울청,서울노원,불암,지구대,02-2092-0305,서울특별시 노원구  한글비석로 277,37.652436756043,127.077338666344
219,서울청,서울노원,마들,지구대,02-2092-0306,서울특별시 노원구  한글비석로 489 마들지구대,37.6645870330059,127.063618910994
220,서울청,서울노원,당고개,파출소,02-2092-0307,서울특별시 노원구 수락산로2길 77,37.6670283056584,127.075851789116
221,서울청,서울노원,상계1,파출소,02-2092-0308,서울특별시 노원구  동일로 1693,37.6796812226531,127.055047135943
222,서울청,서울방배,남태령,지구대,02-582-8410,서울특별시 서초구  동작대로 34,37.4794964653886,126.982182285789
223,서울청,서울방배,서래,파출소,02-534-0116,서울특별시 서초구  신반포로 16길 15-14,37.5021102658365,126.996967303365
224,서울청,서울방배,이수,파출소,02-599-3880,서울특별시 서초구  동광로19길 38,37.4941486658541,126.988846953989
225,서울청,서울방배,방배1,파출소,02-583-7694,서울특별시 서초구  효령로 31길 64,37.4839605943547,126.995340912361
226,서울청,서울은평,불광,지구대,02-350-1932,서울특별시 은평구  연서로 290,37.6214183477987,126.926581355932
227,서울청,서울은평,연신내,지구대,02-350-1936,서울특별시 은평구  갈현로 195,37.6152127182381,126.912708898719
228,서울청,서울은평,진관,파출소,02-350-1930,서울특별시 은평구  진관3로 38 진관파출소,37.6399452531738,126.920899644798
