번호,사업장명,위도,경도,영업상태명,소재지전화,소재지전체주소,도로명전체주소,의료기관종별명,의료인수,병상수
23,오산신경정신병원,37.165980241,127.04379226,휴업,031-373-1254,경기도 오산시 궐동 543번지 1호,"경기도 오산시 가장산업동로 69-27, 가,나,다동 (궐동)",정신병원,18,464
24,오산노인전문병원,37.165461765,127.04385234,휴업,031-370-2300,경기도 오산시 궐동 543번지,경기도 오산시 가장산업동로 69-27 (궐동),요양병원(노인병원),40,250
25,의료법인대성의료재단 한림예요양병원,37.360161093,126.96311555,휴업,455-5114,경기도 의왕시 오전동 38번지 15호 bk빌딩 2.3.4층,"경기도 의왕시 경수대로391번길 14-12, 2-4층 (오전동, bk빌딩)",요양병원(일반요양병원),7,162
26,의료법인파스카의료재단 광양우리병원,34.970415081,127.58645499,휴업,061797-1000,,전라남도 광양시 광양읍 숲샘길 80-0,병원,2,201
27,서남대학교병원,35.144691865,126.91466792,휴업,224-0671,광주광역시 동구 불로동 174,광주광역시 동구 천변우로 415 (불로동),종합병원,10,122
28,의료법인 자강의료재단 자강병원,35.843078383,129.20664552,휴업,054-745-8875,경상북도 경주시 성건동 340번지 25호 이룸프라자,"경상북도 경주시 금성로 287, 이룸프라자 4~6층 (성건동)",병원,17,36
29,혜민한방병원,36.745027747,126.30449583,휴업,041-400-7171,,충청남도 태안군 태안읍 정주내1길 13-0 (혜민한방병원),한방병원,4,96
30,아름다운병원,37.688163054,127.88321794,휴업,033-430-9999,강원특별자치도 홍천군 홍천읍 희망리 376-33,강원특별자치도 홍천군 홍천읍 홍천로 342-10,병원,6,30
31,홍천요양병원,37.841219473,128.01690929,휴업,033-436-2119,강원특별자치도 홍천군 두촌면 역내리 127번지,강원특별자치도 홍천군 두촌면 설악로 3871-4,요양병원(일반요양병원),2,48
32,의료법인 지산의료재단 현인요양병원,37.933592187,128.31177374,휴업,033-462-0129,강원특별자치도 인제군 기린면 현리982-2,강원특별자치도 인제군 기린면 내린천로 3760,요양병원(일반요양병원),2,74
33,한마음병원,37.519655189,129.11592282,휴업,033533-8275,,"강원특별자치도 동해시 중앙로 210-  (천곡동,210)",병원,26,109
34,서울한방병원,34.809288293,126.43061952,휴업,061287-8566,,전라남도 목포시 삼향천로 106-0 (옥암동),한방병원,0,73
35,의료법인경북요양병원,,,휴업,054-823-7501,안동시 정하동 251-3,경상북도 안동시 충효로 4463 (정하동),요양병원(일반요양병원),18,149
36,의료법인 정흡의료재단 효림요양병원,35.503687773,129.42911553,휴업,052-252-7500,울산광역시 동구 일산동 464번지 6호,울산광역시 동구 방어진순환도로 693-1 (일산동),요양병원(일반요양병원),0,137
37,의료법인우진의료재단한길병원,37.76987692,126.44463232,휴업,934-1191,인천광역시 강화군 송해면 하도리 198번지 1호,인천광역시 강화군 송해면 강화대로 902,요양병원(일반요양병원),7,71
38,의료법인 청명의료재단 목포참사랑요양병원,34.792905249,126.37978046,휴업,061-240-1695,,전라남도 목포시 차범석길35번길 9 (북교동),요양병원(일반요양병원),19,228
39,의료법인세화의료재단나주원광한방병원,35.036284276,126.71820066,휴업,061-335-9944,,전라남도 나주시 영산로 5391 (성북동),한방병원,12,75
40,군산제일요양병원,35.975252089,126.70292732,휴업,063-468-0371,,전북특별자치도 군산시 대학로 183 (문화동),요양병원(일반요양병원),13,101
41,에스병원(S병원),35.078275352,129.0700242,휴업,051-412-7000,"부산광역시 영도구 동삼동 318번지 45호 지하2층, 2층~8층, 9층 일부","부산광역시 영도구 동삼로 55-1, 지하2층, 2층~8층, 9층 일부 (동삼동)",병원,21,208
42,광주백병원,35.138196055,126.90471863,휴업,062-650-1000,광주광역시 남구 백운1동 76번지,광주광역시 남구 독립로54번길 26 (백운동),병원,36,108
43,백세요양병원,35.149526419,126.9084852,휴업,062-712-2300,"광주광역시 서구 양동 137번지 지하1층,1~5층","광주광역시 서구 천변좌로316번길 4, 1~5층 (양동)",요양병원(일반요양병원),27,243
44,의료법인 남영의료재단 남영노인전문병원,36.333713975,127.42885605,휴업,042-254-7582,대전광역시 동구 정동 34번지12호,대전광역시 동구 태전로 39 (정동),요양병원(일반요양병원),18,189
45,화명하나병원,35.234587648,129.01115212,휴업,051-331-7275,,부산광역시 북구 화명신도시로 120 (화명동),병원,3,30
46,의료법인 은성의료재단 좋은주례요양병원,35.150052737,129.00146748,휴업,051-325-0300,부산광역시 사상구 주례동 1162번지 6호,부산광역시 사상구 가야대로 264 (주례동),요양병원(일반요양병원),14,99
47,한빛요양병원,35.405754698,127.38279831,휴업,625-8996,전북특별자치도 남원시 쌍교동 83번지,전북특별자치도 남원시  향단로  28,요양병원(일반요양병원),12,145
48,김취열기념의료재단 프라임병원,35.215003506,128.03879647,휴업,055-772-6900,경상남도 진주시 명석면 우수리 149번지,"경상남도 진주시 명석면 나불로 305, 지하1층-지상8층",병원,55,136
49,광주혜원병원,35.133708292,126.91142679,휴업,062-717-1000,광주광역시 남구 방림1동 541번지 4호,광주광역시 남구 대남대로 125 (방림동),병원,7,174
50,의료법인 현대의료재단 라온제나한방병원,35.061191959,128.9760075,휴업,262-6558,부산광역시 사하구 다대1동 308번지 2호 (A동9층),부산광역시 사하구 다대로 485 (다대동),한방병원,2,30
51,의료법인 청림의료재단 온천요양병원,35.21984276,129.08827517,휴업,051-529-2408,부산광역시 금정구 부곡동 395번지 7호 (15호)애플타워2-4층,"부산광역시 금정구 부곡로 36, 2-4층 (부곡동, 애플타워)",요양병원(일반요양병원),4,144
52,의료법인청십자의료재단 청십자요양병원,35.127745408,129.0483301,휴업,051-469-1011,부산광역시 동구 수정동 79번지 708호,"부산광역시 동구 중앙대로 364 (수정동, 청십자병원)",요양병원(일반요양병원),7,80
53,의료법인에벤에셀의료재단 아름다운요양병원,35.19389142,129.12407884,휴업,051-782-7400,부산광역시 해운대구 재송1동 179번지 82호 (1-5층),부산광역시 해운대구 해운대로61번길 47 (재송동),요양병원(일반요양병원),6,30
54,의료법인 진연의료재단 감천문화요양병원,35.090387627,129.00679516,휴업,051-293-0013,,부산광역시 사하구 옥천로 38 (감천동),요양병원(일반요양병원),8,118
55,의료법인 효원의료재단 주례자연병원,35.149558474,128.99953165,휴업,051-324-1004,부산광역시 사상구 주례동 1160-10,부산광역시 사상구 학장로 325 (주례동),정신병원,6,236
56,의료법인 다정의료재단 금산요양병원,35.183987324,129.08054387,휴업,051-867-3171,부산광역시 연제구 연산동 702번지 9호,부산광역시 연제구 중앙대로 1078 (연산동),요양병원(일반요양병원),12,151
57,의료법인 한림의료재단 효성요양병원,34.861946857,128.44109672,휴업,055-646-9700,,"경상남도 통영시 용남면 남해안대로 523, 1,4,5층 (강산빌딩)",요양병원(일반요양병원),6,81
58,효경요양병원,35.178946863,127.88559364,휴업,055)883-4151,,경상남도 하동군 옥종면 옥수로 13,요양병원(일반요양병원),4,98
59,양주한국병원,37.838552141,127.07310455,휴업,1833-6966,경기도 양주시 고암동 92-21,경기도 양주시 화합로 1489(고암동),병원,63,203
60,메디포레요양병원,36.34644528,127.29881592,휴업,042-522-1001,대전광역시 유성구 덕명동 171번지 6호,대전광역시 유성구 학하서로 99 (덕명동),요양병원(일반요양병원),18,138
61,의료법인 계화의료재단 청정요양병원,35.406042631,127.13913547,휴업,063653-0119,,전북특별자치도 순창군 인계면 인덕로 145-19,요양병원(일반요양병원),6,60
62,의료법인 진주의료재단 새진주정신병원,35.152962987,128.17373882,휴업,055-761-7582,,"경상남도 진주시 문산읍 제곡길98번길 36, 지하1, 1~4층",정신병원,19,299
63,의료법인 사랑나무의료재단 서수원요양병원,37.241521601,126.97798911,휴업,031-221-2222,,"경기도 수원시 권선구 오목천로152번길 68, 골든프라자3.4층 (고색동)",요양병원(일반요양병원),25,184
64,의료법인삼송의료재단 김포효병원,37.626933779,126.70638781,휴업,031-985-6061,,"경기도 김포시 봉화로130번길 50, 김포효병원 (북변동)",요양병원(노인병원),12,110
65,분당러스크재활병원,37.363984056,127.10630401,휴업,031-716-0007,,"경기도 성남시 분당구 정자일로156번길 6, 3~8층 (정자동, 뉴본타워)",병원,84,189
66,송파한성병원,37.50970762,127.11381995,휴업,02-6949-6670,서울특별시 송파구 방이동 114-3,"서울특별시 송파구 오금로 173, 지하1층~지상6층 (방이동)",병원,3,43
67,남악정다운요양병원,34.828657416,126.45303377,휴업,061-282-8500,,전라남도 무안군 삼향읍 삼일로 13-1,요양병원(일반요양병원),12,227
68,인선요양병원,37.129104186,127.26341352,휴업,673-0836,경기도 안성시 양성면 미산리,경기도 안성시 양성면 미리내성지로 274-29,요양병원(일반요양병원),10,70
69,안성동인병원,37.005294723,127.26694424,휴업,677-0300,인지동 412,경기도 안성시 인지1길 9 (인지동),병원,17,59
70,성지요양병원,37.896099509,127.0837233,휴업,031-860-9000,경기도 동두천시 광암동 486-4,경기도 동두천시 광암로17번길 10 (광암동),요양병원(일반요양병원),6,150
71,의료법인 대아의료재단 시흥한도병원,37.377512073,126.78418226,휴업,031-463-7114,경기도 시흥시 장곡동 811번지 8호,경기도 시흥시 장곡로37번길 20 (장곡동),병원,4,100
72,의료법인 두현의료재단 그로스요양병원,37.360995513,126.94642362,휴업,031-468-0303,"경기도 군포시  765번지 두현타워 B102호,201호,301-309호","경기도 군포시 당산로 104, B102호,201호,301∼309호 (금정동, 두현타워)",요양병원(일반요양병원),11,112
73,축령복음병원,37.738540856,127.31018153,휴업,031-592-6661,경기도 남양주시 수동면 외방리 174-3,경기도 남양주시 수동면 외방로172번길 58,정신병원,11,154
74,의료법인서광의료재단 성북중앙병원,37.596874911,127.0356399,휴업,02-919-3404,,서울특별시 성북구 종암로 72 (종암동),병원,15,109
75,의료법인정애의료재단서울초이스병원,37.533827205,127.1211871,휴업,02-508-2700,서울특별시 송파구 풍납동 496-5 서울초이스병원,"서울특별시 송파구 올림픽로 579, 서울초이스병원 지하2층~지상5층 (풍납동)",병원,11,44
76,의료법인 동인재단 동부병원,35.778833269,127.41735133,휴업,063-433-2991,전북특별자치도 진안군 진안읍 단양리,전북특별자치도 진안군 진안읍 마이산로 90-16,병원,1,148
77,의료법인창녕성산의료재단창녕효요양병원,35.54216211,128.48064623,휴업,055-530-8800,경상남도 창녕군 대지면 효정리 68,경상남도 창녕군 대지면 효정직교길 119,요양병원(일반요양병원),17,170
78,의료법인명보의료재단청춘병원,35.671227153,128.86048194,휴업,054 -371-2511,,경상북도 청도군 매전면 청려로 3757-0,병원,23,50
79,의료법인 행복한의료재단 행복한요양병원,,,폐업,055-786-7400,경상남도 사천시 사천읍 수석리 273번지 8호,경상남도 사천시 사천읍 읍내1길 37-37 (행복한요양병원),요양병원(일반요양병원),8,110
80,의료법인 동인의료재단 웅상요양병원,35.411287039,129.16834658,폐업,055-386-6371,경상남도 양산시 삼호동 989번지 3호,경상남도 양산시 서창동1길 7 (삼호동),요양병원(일반요양병원),8,94
81,의료법인순영의료재단 경남도립정신병원,35.092018062,128.04565769,폐업,055-854-6000,경상남도 사천시 축동면 가산리 447번지 2호,경상남도 사천시 축동면 서삼로 1110-35,정신병원,9,199
82,사천중앙병원,35.079123275,128.09694372,폐업,055-852-7521,경상남도 사천시사천읍 선인리 313-1,경상남도 사천시 사천읍 옥산로 127,병원,9,0
83,의료법인 태영의료재단 사천삼성요양병원,35.081676641,128.08684164,폐업,055-855-0088,경상남도 사천시 사천읍 수석리 273-8,경상남도 사천시 사천읍 읍내1길 37,요양병원(일반요양병원),8,120
84,사천중앙요양병원,,,폐업,055-852-7521,경상남도 사천시 사천읍 선인리 313-1,,요양병원(일반요양병원),22,30
85,사천현대병원,35.088313649,128.09434817,폐업,055-855-6300,경상남도 사천시 사천읍 정의리 36번지 5호,경상남도 사천시 사천읍 구암두문로 74,병원,11,192
86,의료법인 행복한의료재단 사천중앙병원,35.079123275,128.09694372,폐업,055-851-5400,경상남도 사천시 사천읍 선인리 313번지 1호,경상남도 사천시 사천읍 옥산로 127,병원,8,62
87,서천푸른병원,,,폐업,041-950-5100,충남 서천군 마서면 어리 191,,병원,5,142
88,복천의료재단성누가병원,,,폐업,041-955-5575,충남 서천군 장항읍 화천리 323-1,,병원,4,140
89,서천한국병원,36.0562804,126.70502499,폐업,,충청남도 서천군 마서면 어리 191번지 1호,,병원,4,142
90,서울병원,,,폐업,041-934-6000,충청남도 보령시 대천동 172-3,,병원,1,97
91,대천외과병원,,,폐업,041-935-6550,충청남도 보령시 대천동 618-53,,병원,2,77
92,대천성모병원,,,폐업,041-934-3261,충청남도 보령시 동대동 874-8,,병원,1,56
93,보령제일병원,,,폐업,041-934-3261,충청남도 보령시 동대동 874-8,,병원,2,69
94,통합한방병원,,,폐업,041-935-2656,충청남도 보령시 대천동 154-17,,한방병원,1,43
95,한사랑병원,36.350273323,126.59779045,폐업,041-935-6644,충청남도 보령시 대천동 618-53,충청남도 보령시 원동1길 56-15 (대천동),병원,5,121
96,보령중앙병원,36.358861372,126.60273068,폐업,041-936-2222,충청남도 보령시 죽정동 669-5,충청남도 보령시 지장골길 69 (죽정동),병원,5,125
97,당진우리병원,36.894836964,126.62413902,폐업,356-7114,,충청남도 당진시 서부로 254 (채운동),병원,3,50
98,수청요양병원,36.88466404,126.6315315,폐업,041-351-5000,"충청남도 당진시 채운동 1130 지하1층, 지상 2층, 5층",충청남도 당진시 남부로 138(채운동),요양병원(일반요양병원),10,93
99,푸른병원,36.898033091,126.63466954,폐업,041-356-0881,충남 당진군 당진읍 읍내리 299-2,충청남도 당진시 계성3길 6 (읍내동),병원,2,62
100,당진백병원,36.894836964,126.62413902,폐업,041-356-7114,충남 당진군 당진읍 채운리 267-1,충청남도 당진시 서부로 254 (채운동),병원,4,81
101,합덕서울병원,36.807954165,126.77452,폐업,041-362-4567,충남 당진군 합덕읍 운산리 256-5,충청남도 당진시 합덕읍 합덕시장로 174-1,병원,2,40
102,화성제일요양병원,37.211205054,127.036445,폐업,031-526-0030,"경기도 화성시 진안동 512번지 1호 2층, 3층 일부, 5층","경기도 화성시 효행로 990, 2층,3층,5층 (진안동, 비젼월드)",요양병원(일반요양병원),12,118
103,호산나요양병원,37.213103683,126.73397836,폐업,031-548-2345,경기도 화성시 송산면 사강리 694번지 8호,"경기도 화성시 송산면 사강로 161, 2~3층",요양병원(일반요양병원),6,100
104,의료법인 로뎀호산나의료재단 호산나요양병원,37.213103683,126.73397836,폐업,031-548-2345,경기도 화성시 송산면 사강리 694번지 8호,"경기도 화성시 송산면 사강로 161, 2~3층",요양병원(일반요양병원),3,98
105,의료법인승주의료재단청주씨티병원,,,폐업,291-4277,청주시서원구 분평동 1431,,병원,0,137
106,마디사랑병원,36.611425795,127.4678514,폐업,298-9988,"충청북도 청주시 서원구 산남동 655번지 에버빌딩3,4,5층","충청북도 청주시 서원구 산남로 56 (산남동, 에버프라자)",병원,15,42
107,경희보리수한방병원,36.634603922,127.46270663,폐업,043-264-5577,충청북도 청주시 서원구 사창동 261번지 4호,"충청북도 청주시 서원구 사직대로 140, 201호 (사창동, 현대코아)",한방병원,5,37
108,동탄플러스병원,37.201074731,127.07129866,폐업,031-8050-8855,경기도 화성시 반송동 104번지 1호,"경기도 화성시 동탄반석로 134, 5,6,7층 (반송동)",병원,7,104
109,경희동탄한방병원,37.194112537,127.0735541,폐업,031-8015-0306,,"경기도 화성시 동탄솔빛로 57, 삼성미즈빌딩 2,3,4층 (반송동)",한방병원,9,49
110,동탄드림병원,37.207572884,127.11080135,폐업,031-352-9595,경기도 화성시 영천동 681번지 3호,"경기도 화성시 동탄순환대로 704, A동 5,6,7층 (영천동)",병원,4,45
111,최헌식정형외과,,,폐업,,청주시상당구 북문로2가 116-148,,병원,0,0
112,김규환신경외과,,,폐업,,청주시상당구 석교동 40-11,,병원,0,0
113,대전대학교청주한방병원(학교재단),36.633914394,127.50227815,폐업,229-3700,청주시상당구 용담동 173-9,충청북도 청주시 상당구 용담로105번길 4 (용담동),한방병원,19,50
114,새마음병원,36.552806071,127.54073298,폐업,,충청북도 청주시 상당구 가덕면 노동리 17번지 3호,,정신병원,4,52
115,초정요양병원,36.723310971,127.5929342,폐업,043-213-7123,충청북도 청주시 청원구 내수읍 우산리 192번지 5호,충청북도 청주시 청원구 내수읍 우산길 91,요양병원(일반요양병원),11,192
116,이재영정형외과,,,폐업,,청주시상당구 북문로3가 25,,병원,0,0
117,청주소아병원,36.634232027,127.4841374,폐업,225-7700,청주시상당구 서문동 197-2,충청북도 청주시 상당구 무심동로 376 (서문동),병원,15,46
118,소망요양병원,36.617551612,127.49813398,폐업,255-0126,청주시상당구 영운동 173-21,충청북도 청주시 상당구 단재로 132 (영운동),요양병원(일반요양병원),11,108
119,청주소아청소년병원,36.653521367,127.47178905,폐업,043-225-7700,"충청북도 청주시 흥덕구 운천동 555번지 10호 (3,4,5층)","충청북도 청주시 흥덕구 사운로 292, 3,4,5층 (운천동)",병원,14,37
120,남궁병원,36.632634409,127.49037558,폐업,252-3000,충청북도 청주시 상당구 남문로2가 15번지,충청북도 청주시 상당구 상당로 47 (남문로2가),병원,7,50
121,의료법인 제이원의료재단큰나무요양병원,36.628709069,127.43066503,폐업,043-231-0200,충청북도 청주시 흥덕구 가경동 1034번지,충청북도 청주시 흥덕구 풍년로193번길 15 (가경동),요양병원(일반요양병원),12,120
122,의료법인웅포의료재단제천현대병원,37.152665747,128.21402642,폐업,,충청북도 제천시 청전동 39번지 1호,충청북도 제천시 의림대로 284 (청전동),병원,24,144
123,국민보건의료소비자협동조합중앙효요양병원,37.137979801,128.21014353,폐업,043-647-2846,제천시 중앙로1가 112-3,충청북도 제천시 풍양로 91 (중앙로1가),요양병원(일반요양병원),4,113
124,의료법인범곡의료재단제일병원,37.144459254,128.21407234,폐업,043-645-0001,충청북도 제천시 중앙로2가 66번지 9호,충청북도 제천시 의림대로 194 (중앙로2가),병원,2,31
125,효사랑의료소비자생활협동조합 사랑요양병원,37.129785023,128.20586528,폐업,043-652-6542,충청북도 제천시 영천동 509번지,충청북도 제천시 의림대로 17 (영천동),요양병원(일반요양병원),10,101
126,목토한방병원,37.172335945,128.08513408,폐업,043-653-6555,,충청북도 제천시 봉양읍 옥전1길 7,한방병원,1,39
127,동탄플러스요양병원,37.201074731,127.07129866,폐업,031-8050-8855,경기도 화성시 반송동 104번지 1호,경기도 화성시 동탄반석로 134 (반송동),요양병원(일반요양병원),7,108
128,씨이오병원,37.115662935,126.91057792,폐업,031-657-7582,경기도 화성시 향남읍 하길리 1472번지 2호,"경기도 화성시 향남읍 상신하길로298번길 7-7, 3~6층",병원,6,69
129,송산한방병원,37.27998293,126.8197449,폐업,031-357-8825,,"경기도 화성시 노들길 6-8, 3,4,5층 (새솔동)",한방병원,5,48
130,서울한방병원,37.198818485,126.82562809,폐업,031-8043-1084,경기도 화성시 남양읍 남양리 2319번지 4호,"경기도 화성시 남양읍 시청로160번길 46, 6,7층",한방병원,7,44
131,제일요양병원,37.211205054,127.036445,폐업,031-526-0030,,"경기도 화성시 효행로 990 (진안동, 비젼월드)",요양병원(일반요양병원),16,135
132,서울요양병원,37.227927984,126.97197902,폐업,031-226-9100,,"경기도 화성시 효행로 223 (기안동, 대원빌딩)",요양병원(일반요양병원),5,99
133,동탄목동한방병원,37.182656836,127.12432158,폐업,031-375-5812,경기도 화성시 목동 산 18번지,"경기도 화성시 동탄신리천로 411, 4,5층 (목동)",한방병원,16,58
134,원진재단부설녹색한방병원,,,폐업,02-490-2311,서울특별시 중랑구 면목3.8동 568-1,,한방병원,2,30
135,서울J요양병원,37.591958789,127.07167264,폐업,02-494-9004,서울특별시 중랑구 상봉2동 475번지 11호 외 3필지,서울특별시 중랑구 망우로 166-17 (상봉동),요양병원(일반요양병원),5,49
136,자연애요양병원,,,폐업,02-3421-7720,서울특별시 중랑구 신내1동 418-6,,요양병원(일반요양병원),8,58
137,한걸음병원,,,폐업,02-493-9700,"서울특별시 중랑구 상봉2동 101 이지펠리스빌딩 504~505호, 601~605호, 701~705호",,병원,3,144
138,서울선병원,37.598630598,127.09364247,폐업,02-436-1900,,"서울특별시 중랑구 망우로 373 (상봉동, 서울선병원)",병원,1,31
139,서울대윤병원,,,폐업,02-840-0101,서울특별시 영등포구 신길동   103-21,,병원,0,0
140,지성병원,,,폐업,02-2635-3883,서울특별시 영등포구 양평동1가   120-32,,병원,1,0
141,김안과병원,,,폐업,02-2639-7777,서울특별시 영등포구 영등포동4가   156-0,,병원,0,0
142,영등포하나요양병원,,,폐업,832-0151,서울 영등포구 신길3동 232-84,,요양병원(일반요양병원),2,34
143,서울복지병원,,,폐업,02-845-0777,서울특별시 영등포구 대림동   706-1,,병원,0,0
144,유디치과병원,37.52352842,126.92543336,폐업,6334-1000,서울특별시 영등포구 여의도동 25번지 11호 한진해운빌딩 지하1층,"서울특별시 영등포구 국제금융로2길 25, 지하1층 (여의도동)",치과병원,4,0
145,하병원,,,폐업,02-832-0151,서울특별시 영등포구 신길동   232-84,,병원,0,0
146,은송병원,,,폐업,02-2068-7577,서울특별시 영등포구 영등포동7가   77-0,,병원,0,0
147,지성병원,,,폐업,02-2635-3883,서울특별시 영등포구 양평동1가   120-32,,병원,0,0
148,서울성모병원,,,폐업,02-2679-5118,서울특별시 영등포구 영등포동8가   12-1,,병원,0,0
149,서울대윤병원,,,폐업,02-841-0101,서울특별시 영등포구 신길동   103-21,,병원,0,0
150,서울대윤병원,,,폐업,02-841-0101,서울특별시 영등포구 신길동   103-21,,병원,0,0
151,영등포병원,,,폐업,02-2635-2809,서울특별시 영등포구 당산동3가   386-3,,병원,0,0
152,조은병원,,,폐업,,서울특별시 서초구 반포동 44-3,,병원,7,41
153,가야병원,,,폐업,,서울특별시 서초구 방배4동 852-14,,병원,6,70
154,강남의림한방병원,37.491053171,126.98345736,폐업,536-8200,서울특별시 서초구 방배본동 2240번지,서울특별시 서초구 동광로 5 (방배동),한방병원,3,50
155,영등포병원,,,폐업,02-2635-2809,서울특별시 영등포구 당산동3가   386-3,,병원,0,0
156,모심요양병원,37.476031104,126.98658786,폐업,520-8614,서울특별시 서초구 방배3동 479번지 5호,,요양병원(일반요양병원),12,62
157,새힘오산당병원,37.476031104,126.98658786,폐업,529-8800,서울특별시 서초구 방배3동 479번지 5호,,병원,7,206
158,사람사랑치과병원,37.501175878,127.02554199,폐업,3482-7528,서울특별시 서초구 서초동 1305번지 5호 13층,"서울특별시 서초구 강남대로 435, 13층 (서초동, 주류성빌딩)",치과병원,6,0
159,오산당요양병원,37.523895079,126.88959426,폐업,02-2678-7555,서울특별시 영등포구 양평동1가 120번지 32호,"서울특별시 영등포구 선유로25길 6, 지하1층~지상5층 (양평동1가)",요양병원(일반요양병원),18,100
160,영등포하나요양병원,,,폐업,02-832-0155,서울특별시 영등포구 신길3동 84번지,,요양병원(일반요양병원),15,101
161,함춘요양병원,37.47196976,127.05007473,폐업,575-1850,서울특별시 서초구 양재2동 402번지 3호,서울특별시 서초구 논현로1길 13 (양재동),요양병원(일반요양병원),11,49
162,의료법인 명경의료재단 꽃마을한방병원,37.491591239,127.01451213,폐업,02-3475-7023,,"서울특별시 서초구 서초중앙로 110, 4,5층 (서초동, 롯데캐슬메디치빌딩)",한방병원,8,30
163,원진바른얼굴치과병원,37.499856803,127.02617219,폐업,3476-2879,서울특별시 서초구 서초4동 1306번지 6호 지하2층,"서울특별시 서초구 강남대로 419 (서초동, 지하2층)",치과병원,3,0
164,영등포병원,,,폐업,02-2635-2809,서울특별시 영등포구 당산동3가   386-3,,병원,0,0
